Fallout 2 RE	Matched function	Line	Code
0x489ec4	DWORD obj_connect(GameObject* object, DWORD tile, DWORD elevation, RECT* rect)	line 710 in actions.c	sub_489EC4(weapon, attack->attacker->tile, attack->attacker->elevation, NULL);
0x423104	void combat_bullet_start()	line 719 in actions.c	int projectileOrigin = sub_423104(attack->attacker, attack->defender);
0x4163ac	void make_straight_path()	line 733 in actions.c	actionFrame = sub_4163AC(projectile, projectileOrigin, attack->defender->tile, NULL, NULL, 32) - 1;
0x4110ac	void show_damage()	line 821 in actions.c	sub_4110AC(attack, anim, actionFrame);
0x42b634	void combatai_msg()	line 824 in actions.c	sub_42B634(attack->defender, attack, AI_MESSAGE_TYPE_MISS, -1);
0x42b634	void combatai_msg()	line 827 in actions.c	sub_42B634(attack->defender, attack, AI_MESSAGE_TYPE_HIT, -1);
0x410fec	void show_damage_extras()	line 878 in actions.c	sub_410FEC(attack);
0x411d68	void is_next_to()	line 884 in actions.c	int sub_411D68(Object* a1, Object* a2)
0x411db4	void action_climb_ladder()	line 902 in actions.c	int sub_411DB4(Object* a1, Object* a2)
0x411d68	void is_next_to()	line 940 in actions.c	reg_anim_11_1(a1, a2, sub_411D68, -1);
0x49c6bc	void check_scenery_ap_cost()	line 942 in actions.c	reg_anim_11_1(a1, a2, sub_49C6BC, -1);
0x49c740	void obj_use()	line 954 in actions.c	reg_anim_11_0(a1, a2, sub_49C740, -1);
0x411f2c	void action_use_an_item_on_object()	line 964 in actions.c	int sub_411F2C(Object* a1, Object* a2, Object* a3)
0x411d68	void is_next_to()	line 1007 in actions.c	reg_anim_11_1(a1, a2, sub_411D68, -1);
0x49c6bc	void check_scenery_ap_cost()	line 1010 in actions.c	reg_anim_11_0(a1, a2, sub_49C6BC, -1);
0x42dd80	void critter_is_prone()	line 1022 in actions.c	if (v12 == OBJ_TYPE_CRITTER && sub_42DD80(a2)) {
0x49c5fc	void obj_use_item_on()	line 1036 in actions.c	reg_anim_12(a1, a2, a3, (AnimationProc2*)sub_49C5FC, -1);
0x49c740	void obj_use()	line 1038 in actions.c	reg_anim_11_0(a1, a2, sub_49C740, -1);
0x411db4	void action_climb_ladder()	line 1048 in actions.c	return sub_411DB4(a1, a2);
0x412114	void action_use_an_object()	line 1052 in actions.c	int sub_412114(Object* a1, Object* a2)
0x411f2c	void action_use_an_item_on_object()	line 1054 in actions.c	return sub_411F2C(a1, a2, NULL);
0x411d68	void is_next_to()	line 1084 in actions.c	reg_anim_11_1(critter, item, sub_411D68, -1);
0x49c6bc	void check_scenery_ap_cost()	line 1085 in actions.c	reg_anim_11_0(critter, item, sub_49C6BC, -1);
0x49ea5c	void proto_action_can_pickup()	line 1090 in actions.c	if (itemProto->item.type != ITEM_TYPE_CONTAINER || sub_49EA5C(item->pid)) {
0x49b650	void obj_pickup()	line 1110 in actions.c	reg_anim_11_0(critter, item, sub_49B650, actionFrame);
0x49ce7c	void obj_use_container()	line 1136 in actions.c	reg_anim_11_0(critter, item, sub_49CE7C, actionFrame);
0x4123e8	void action_loot_container()	line 1152 in actions.c	int sub_4123E8(Object* a1, Object* a2)
0x411d68	void is_next_to()	line 1186 in actions.c	reg_anim_11_1(a1, a2, sub_411D68, -1);
0x49c6bc	void check_scenery_ap_cost()	line 1187 in actions.c	reg_anim_11_1(a1, a2, sub_49C6BC, -1);
0x4124e0	void action_skill_use()	line 1193 in actions.c	int sub_4124E0(int skill)
0x411d68	void is_next_to()	line 1379 in actions.c	reg_anim_11_1(v1, a2, sub_411D68, -1);
0x42dd80	void critter_is_prone()	line 1381 in actions.c	int anim = (((a2->fid & 0xF000000) >> 24) == OBJ_TYPE_CRITTER && sub_42DD80(a2)) ? ANIM_MAGIC_HANDS_GROUND : ANIM_MAGIC_HANDS_MIDDLE;
0x49d078	void obj_use_skill_on()	line 1393 in actions.c	reg_anim_12(v1, a2, (void*)skill, (AnimationProc2*)sub_49D078, -1);
0x412bc4	void is_hit_from_front()	line 1398 in actions.c	bool sub_412BC4(Object* a1, Object* a2)
0x412bec	void can_see()	line 1409 in actions.c	bool sub_412BEC(Object* a1, Object* a2)
0x412c1c	void pick_fall()	line 1423 in actions.c	int sub_412C1C(Object* obj, int anim)
0x48b848	GameObject* obj_blocking_at(GameObject* object, DWORD tile, DWORD elevation)	line 1434 in actions.c	if (sub_48B848(obj, tile_num, obj->elevation) != NULL) {
0x48b848	GameObject* obj_blocking_at(GameObject* object, DWORD tile, DWORD elevation)	line 1443 in actions.c	if (sub_48B848(obj, tile_num, obj->elevation) != NULL) {
0x412ce4	void action_explode_running()	line 1461 in actions.c	bool sub_412CE4()
0x48b848	GameObject* obj_blocking_at(GameObject* object, DWORD tile, DWORD elevation)	line 1511 in actions.c	Object* critter = sub_48B848(NULL, tile, elevation);
0x4132cc	void compute_explosion_damage()	line 1529 in actions.c	attack->defenderDamage = sub_4132CC(minDamage, maxDamage, critter, &(attack->defenderKnockback));
0x423c10	void compute_explosion_on_extras()	line 1532 in actions.c	sub_423C10(attack, 0, 0, 1);
0x4132cc	void compute_explosion_damage()	line 1540 in actions.c	attack->extrasDamage[index] = sub_4132CC(minDamage, maxDamage, critter, &(attack->extrasKnockback[index]));
0x413c20	void register_priority()	line 1549 in actions.c	sub_413C20(1);
0x4110ac	void show_damage()	line 1553 in actions.c	sub_4110AC(attack, 0, 1);
0x426db8	void combat_explode_scenery()	line 1560 in actions.c	reg_anim_11_1(explosion, 0, sub_426DB8, -1);
0x413144	void report_explosion()	line 1568 in actions.c	reg_anim_11_1((Object*)attack, a5, (AnimationProc*)sub_413144, -1);
0x4132c0	void finished_explosion()	line 1569 in actions.c	reg_anim_11_1(NULL, NULL, sub_4132C0, -1);
0x410fec	void show_damage_extras()	line 1585 in actions.c	sub_410FEC(attack);
0x413144	void report_explosion()	line 1599 in actions.c	sub_413144(attack, a5);
0x426db8	void combat_explode_scenery()	line 1601 in actions.c	sub_426DB8(explosion, NULL);
0x413144	void report_explosion()	line 1614 in actions.c	int sub_413144(Attack* attack, Object* a2)
0x425170	void combat_display()	line 1629 in actions.c	sub_425170(attack);
0x424c04	void apply_damage()	line 1630 in actions.c	sub_424C04(attack, false);
0x42e4c0	void critter_set_who_hit_me()	line 1641 in actions.c	sub_42E4C0(attack->defender, a2);
0x42e4c0	void critter_set_who_hit_me()	line 1654 in actions.c	sub_42E4C0(critter, a2);
0x4221b4	void combat_give_exps()	line 1683 in actions.c	sub_4221B4(xp);
0x4132c0	void finished_explosion()	line 1690 in actions.c	int sub_4132C0(Object* a1, Object* a2)
0x4132cc	void compute_explosion_damage()	line 1698 in actions.c	int sub_4132CC(int min, int max, Object* a3, int* a4)
0x426cc4	void combat_is_shot_blocked()	line 1741 in actions.c	if (objectGetDistanceBetween(a1, a2) >= 9 || sub_426CC4(a1, a1->tile, a2->tile, a2, NULL)) {
0x413420	void can_talk_to()	line 1746 in actions.c	reg_anim_11_1(a1, a2, sub_413420, -1);
0x413488	void talk_to()	line 1747 in actions.c	reg_anim_11_0(a1, a2, sub_413488, -1);
0x413420	void can_talk_to()	line 1752 in actions.c	int sub_413420(Object* a1, Object* a2)
0x426cc4	void combat_is_shot_blocked()	line 1754 in actions.c	if (sub_426CC4(a1, a1->tile, a2->tile, a2, NULL) || objectGetDistanceBetween(a1, a2) >= 9) {
0x413488	void talk_to()	line 1771 in actions.c	int sub_413488(Object* a1, Object* a2)
0x413494	void action_dmg()	line 1778 in actions.c	void sub_413494(int tile, int elevation, int minDamage, int maxDamage, int damageType, bool animated, bool bypassArmor)
0x48b848	GameObject* obj_blocking_at(GameObject* object, DWORD tile, DWORD elevation)	line 1797 in actions.c	Object* v9 = sub_48B848(NULL, tile, elevation);
0x413660	void compute_dmg_damage()	line 1810 in actions.c	damage = sub_413660(minDamage, maxDamage, v9, &(attack->defenderKnockback), damageType);
0x4110ac	void show_damage()	line 1821 in actions.c	sub_4110AC(attack, gMaximumBloodDeathAnimations[damageType], 0);
0x41363c	void report_dmg()	line 1823 in actions.c	reg_anim_11_1((Object*)attack, NULL, (AnimationProc*)sub_41363C, 0);
0x425170	void combat_display()	line 1838 in actions.c	sub_425170(attack);
0x424c04	void apply_damage()	line 1839 in actions.c	sub_424C04(attack, false);
0x41363c	void report_dmg()	line 1849 in actions.c	int sub_41363C(Attack* attack, Object* a2)
0x425170	void combat_display()	line 1851 in actions.c	sub_425170(attack);
0x424c04	void apply_damage()	line 1852 in actions.c	sub_424C04(attack, false);
0x413660	void compute_dmg_damage()	line 1861 in actions.c	int sub_413660(int min, int max, Object* obj, int* a4, int damageType)
0x42e6ac	void critter_flag_check()	line 1863 in actions.c	if (!sub_42E6AC(obj->pid, 0x4000)) {
0x413970	void action_can_talk_to()	line 1904 in actions.c	if (sub_413970(a1, a2) != 0) {
0x49a9a0	void obj_sid()	line 1938 in actions.c	if (sub_49A9A0(a2, &sid) == 0) {
0x48b848	GameObject* obj_blocking_at(GameObject* object, DWORD tile, DWORD elevation)	line 1958 in actions.c	if (sub_48B848(a2, tile, a2->elevation) == NULL) {
0x48b848	GameObject* obj_blocking_at(GameObject* object, DWORD tile, DWORD elevation)	line 1963 in actions.c	if (sub_48B848(a2, tile, a2->elevation) == NULL) {
0x48b848	GameObject* obj_blocking_at(GameObject* object, DWORD tile, DWORD elevation)	line 1968 in actions.c	if (sub_48B848(a2, tile, a2->elevation) == NULL) {
0x48b848	GameObject* obj_blocking_at(GameObject* object, DWORD tile, DWORD elevation)	line 1973 in actions.c	if (sub_48B848(a2, tile, a2->elevation) == NULL) {
0x48b848	GameObject* obj_blocking_at(GameObject* object, DWORD tile, DWORD elevation)	line 1978 in actions.c	if (sub_48B848(a2, tile, a2->elevation) == NULL) {
0x48b848	GameObject* obj_blocking_at(GameObject* object, DWORD tile, DWORD elevation)	line 1983 in actions.c	if (sub_48B848(a2, tile, a2->elevation) == NULL) {
0x413970	void action_can_talk_to()	line 2007 in actions.c	int sub_413970(Object* a1, Object* a2)
0x4186cc	void anim_stop()	line 90 in animation.c	sub_4186CC();
0x4186cc	void anim_stop()	line 106 in animation.c	sub_4186CC();
0x413b80	void anim_free_slot()	line 120 in animation.c	int v1 = sub_413B80(flags);
0x413b80	void anim_free_slot()	line 148 in animation.c	int sub_413B80(int flags)
0x413c20	void register_priority()	line 177 in animation.c	int sub_413C20(int a1)
0x415b9c	void anim_set_end()	line 217 in animation.c	sub_415B9C(animationSequenceIndex);
0x425e3c	void combat_anim_begin()	line 239 in animation.c	sub_425E3C();
0x415b44	void anim_set_continue()	line 247 in animation.c	sub_415B44(v1, 1);
0x413d98	void anim_cleanup()	line 254 in animation.c	void sub_413D98()
0x413e2c	void check_registry()	line 280 in animation.c	int sub_413E2C(Object* obj)
0x415b9c	void anim_set_end()	line 305 in animation.c	sub_415B9C(animationSequenceIndex);
0x413e2c	void check_registry()	line 351 in animation.c	if (sub_413E2C(a1) == -1 || actionPoints == 0) {
0x413d98	void anim_cleanup()	line 352 in animation.c	sub_413D98();
0x413d98	void anim_cleanup()	line 371 in animation.c	sub_413D98();
0x413e2c	void check_registry()	line 391 in animation.c	if (sub_413E2C(owner) == -1 || actionPoints == 0) {
0x413d98	void anim_cleanup()	line 392 in animation.c	sub_413D98();
0x413d98	void anim_cleanup()	line 437 in animation.c	sub_413D98();
0x413e2c	void check_registry()	line 454 in animation.c	if (sub_413E2C(obj) == -1 || actionPoints == 0) {
0x413d98	void anim_cleanup()	line 455 in animation.c	sub_413D98();
0x413d98	void anim_cleanup()	line 475 in animation.c	sub_413D98();
0x413e2c	void check_registry()	line 497 in animation.c	if (sub_413E2C(obj) == -1) {
0x413d98	void anim_cleanup()	line 498 in animation.c	sub_413D98();
0x413d98	void anim_cleanup()	line 503 in animation.c	sub_413D98();
0x413d98	void anim_cleanup()	line 552 in animation.c	sub_413D98();
0x413e2c	void check_registry()	line 567 in animation.c	if (sub_413E2C(obj) == -1) {
0x413d98	void anim_cleanup()	line 568 in animation.c	sub_413D98();
0x413d98	void anim_cleanup()	line 589 in animation.c	sub_413D98();
0x413e2c	void check_registry()	line 604 in animation.c	if (sub_413E2C(obj) == -1) {
0x413d98	void anim_cleanup()	line 605 in animation.c	sub_413D98();
0x413d98	void anim_cleanup()	line 625 in animation.c	sub_413D98();
0x413e2c	void check_registry()	line 640 in animation.c	if (sub_413E2C(obj) == -1) {
0x413d98	void anim_cleanup()	line 641 in animation.c	sub_413D98();
0x413d98	void anim_cleanup()	line 655 in animation.c	sub_413D98();
0x413e2c	void check_registry()	line 670 in animation.c	if (sub_413E2C(obj) == -1) {
0x413d98	void anim_cleanup()	line 671 in animation.c	sub_413D98();
0x413d98	void anim_cleanup()	line 685 in animation.c	sub_413D98();
0x413e2c	void check_registry()	line 700 in animation.c	if (sub_413E2C(obj) == -1) {
0x413d98	void anim_cleanup()	line 701 in animation.c	sub_413D98();
0x413d98	void anim_cleanup()	line 715 in animation.c	sub_413D98();
0x413e2c	void check_registry()	line 730 in animation.c	if (sub_413E2C(owner) == -1) {
0x413d98	void anim_cleanup()	line 731 in animation.c	sub_413D98();
0x413e2c	void check_registry()	line 750 in animation.c	if (sub_413E2C(obj) == -1) {
0x413d98	void anim_cleanup()	line 751 in animation.c	sub_413D98();
0x413e2c	void check_registry()	line 769 in animation.c	if (sub_413E2C(obj) == -1) {
0x413d98	void anim_cleanup()	line 770 in animation.c	sub_413D98();
0x413e2c	void check_registry()	line 788 in animation.c	if (sub_413E2C(obj) == -1) {
0x413d98	void anim_cleanup()	line 789 in animation.c	sub_413D98();
0x413e2c	void check_registry()	line 808 in animation.c	if (sub_413E2C(NULL) == -1 || proc == NULL) {
0x413d98	void anim_cleanup()	line 809 in animation.c	sub_413D98();
0x413e2c	void check_registry()	line 831 in animation.c	if (sub_413E2C(NULL) == -1 || !proc) {
0x413d98	void anim_cleanup()	line 832 in animation.c	sub_413D98();
0x413e2c	void check_registry()	line 855 in animation.c	if (sub_413E2C(NULL) == -1 || proc == NULL) {
0x413d98	void anim_cleanup()	line 856 in animation.c	sub_413D98();
0x413e2c	void check_registry()	line 878 in animation.c	if (sub_413E2C(obj) == -1) {
0x413d98	void anim_cleanup()	line 879 in animation.c	sub_413D98();
0x413e2c	void check_registry()	line 899 in animation.c	if (sub_413E2C(obj) == -1) {
0x413d98	void anim_cleanup()	line 900 in animation.c	sub_413D98();
0x413d98	void anim_cleanup()	line 913 in animation.c	sub_413D98();
0x413e2c	void check_registry()	line 933 in animation.c	if (sub_413E2C(obj) == -1) {
0x413d98	void anim_cleanup()	line 934 in animation.c	sub_413D98();
0x413d98	void anim_cleanup()	line 948 in animation.c	sub_413D98();
0x413e2c	void check_registry()	line 963 in animation.c	if (sub_413E2C(obj) == -1) {
0x413d98	void anim_cleanup()	line 964 in animation.c	sub_413D98();
0x413e2c	void check_registry()	line 984 in animation.c	if (sub_413E2C(obj) == -1) {
0x413d98	void anim_cleanup()	line 985 in animation.c	sub_413D98();
0x451534	void gsound_compute_relative_volume()	line 994 in animation.c	int volume = sub_451534(obj);
0x413e2c	void check_registry()	line 1016 in animation.c	if (sub_413E2C(obj) == -1) {
0x413d98	void anim_cleanup()	line 1017 in animation.c	sub_413D98();
0x413d98	void anim_cleanup()	line 1031 in animation.c	sub_413D98();
0x413e2c	void check_registry()	line 1049 in animation.c	if (sub_413E2C(NULL) == -1) {
0x413d98	void anim_cleanup()	line 1050 in animation.c	sub_413D98();
0x413b80	void anim_free_slot()	line 1054 in animation.c	v5 = sub_413B80(a1 | 0x01);
0x416f54	void anim_move_straight_to_tile()	line 1114 in animation.c	rc = sub_416F54(animationDescription->owner, animationDescription->tile, animationDescription->elevation, animationDescription->anim, animationSequenceIndex, 0x00);
0x416f54	void anim_move_straight_to_tile()	line 1117 in animation.c	rc = sub_416F54(animationDescription->owner, animationDescription->tile, animationDescription->elevation, animationDescription->anim, animationSequenceIndex, 0x10);
0x4179b8	void anim_animate()	line 1120 in animation.c	rc = sub_4179B8(animationDescription->owner, animationDescription->anim, animationSequenceIndex, 0);
0x4179b8	void anim_animate()	line 1123 in animation.c	rc = sub_4179B8(animationDescription->owner, animationDescription->anim, animationSequenceIndex, 0x01);
0x4179b8	void anim_animate()	line 1126 in animation.c	rc = sub_4179B8(animationDescription->owner, animationDescription->anim, animationSequenceIndex, 0x40);
0x415b44	void anim_set_continue()	line 1134 in animation.c	sub_415B44(animationSequenceIndex, 0);
0x4179b8	void anim_animate()	line 1140 in animation.c	rc = sub_4179B8(animationDescription->owner, animationDescription->anim, animationSequenceIndex, 0x80);
0x42dd80	void critter_is_prone()	line 1143 in animation.c	if (!sub_42DD80(animationDescription->owner)) {
0x418378	void dude_stand()	line 1145 in animation.c	sub_418378(animationDescription->owner, rotation, -1);
0x415b44	void anim_set_continue()	line 1147 in animation.c	sub_415B44(animationSequenceIndex, 0);
0x415b44	void anim_set_continue()	line 1161 in animation.c	sub_415B44(animationSequenceIndex, 0);
0x415b44	void anim_set_continue()	line 1168 in animation.c	rc = sub_415B44(animationSequenceIndex, 0);
0x415b44	void anim_set_continue()	line 1174 in animation.c	rc = sub_415B44(animationSequenceIndex, 0);
0x48ad48	void obj_turn_on_light()	line 1179 in animation.c	if (sub_48AD48(animationDescription->owner, &rect) == 0) {
0x415b44	void anim_set_continue()	line 1190 in animation.c	rc = sub_415B44(animationSequenceIndex, 0);
0x48ad9c	void obj_turn_off_light()	line 1194 in animation.c	if (sub_48AD9C(animationDescription->owner, &rect) == 0) {
0x415b44	void anim_set_continue()	line 1205 in animation.c	rc = sub_415B44(animationSequenceIndex, 0);
0x48af2c	void obj_toggle_flat()	line 1208 in animation.c	if (sub_48AF2C(animationDescription->owner, &rect) == 0) {
0x415b44	void anim_set_continue()	line 1211 in animation.c	rc = sub_415B44(animationSequenceIndex, 0);
0x418660	void anim_change_fid()	line 1214 in animation.c	rc = sub_418660(animationDescription->owner, animationSequenceIndex, animationDescription->fid);
0x4179b8	void anim_animate()	line 1217 in animation.c	rc = sub_4179B8(animationDescription->owner, ANIM_TAKE_OUT, animationSequenceIndex, animationDescription->tile);
0x415b44	void anim_set_continue()	line 1222 in animation.c	rc = sub_415B44(animationSequenceIndex, 0);
0x41712c	void anim_move_on_stairs()	line 1225 in animation.c	rc = sub_41712C(animationDescription->owner, animationDescription->tile, animationDescription->elevation, animationDescription->anim, animationSequenceIndex);
0x417248	void check_for_falling()	line 1228 in animation.c	rc = sub_417248(animationDescription->owner, animationDescription->anim, animationSequenceIndex);
0x415b44	void anim_set_continue()	line 1240 in animation.c	rc = sub_415B44(animationSequenceIndex, 0);
0x415b44	void anim_set_continue()	line 1244 in animation.c	rc = sub_415B44(animationDescription->field_28, 1);
0x415b44	void anim_set_continue()	line 1246 in animation.c	rc = sub_415B44(animationSequenceIndex, 0);
0x415b44	void anim_set_continue()	line 1250 in animation.c	rc = sub_415B44(animationSequenceIndex, 0);
0x415b9c	void anim_set_end()	line 1258 in animation.c	sub_415B9C(animationSequenceIndex);
0x415b44	void anim_set_continue()	line 1268 in animation.c	int sub_415B44(int animationSequenceIndex, int a2)
0x415b9c	void anim_set_end()	line 1281 in animation.c	return sub_415B9C(animationSequenceIndex);
0x415b9c	void anim_set_end()	line 1292 in animation.c	int sub_415B9C(int animationSequenceIndex)
0x42dd80	void critter_is_prone()	line 1362 in animation.c	if ((animationSequence->flags & 0x80) == 0 && !sub_42DD80(owner)) {
0x418378	void dude_stand()	line 1363 in animation.c	sub_418378(owner, owner->rotation, -1);
0x425e80	void combat_anim_finished()	line 1383 in animation.c	sub_425E80();
0x415e24	DWORD anim_can_use_door(GameObject* source, GameObject* object)	line 1396 in animation.c	int sub_415E24(Object* a1, Object* a2)
0x48b2a8	void obj_portal_is_walk_thru()	line 1403 in animation.c	if (sub_48B2A8(a2) == 0) {
0x415ee8	void make_path()	line 1437 in animation.c	int sub_415EE8(Object* object, int from, int to, unsigned char* rotations, int a5)
0x416360	DWORD tile_idistance(DWORD sourceTile, DWORD targetTile)	line 1467 in animation.c	gOpenPathNodeList[0].field_C = sub_416360(from, to);
0x415e24	DWORD anim_can_use_door(GameObject* source, GameObject* object)	line 1532 in animation.c	if (sub_415E24(object, v24) == 0) {
0x41633c	void idist()	line 1562 in animation.c	v27->field_C = sub_41633C(newX, newY, toScreenX, toScreenY);
