Function	Code	File
DWORD register_object_turn_towards(GameObject* object, DWORD tileNum, DWORD nothing)	fo::func::register_object_turn_towards(obj, tile, nothing);	Modules\Scripting\Handlers\Anims.cpp
DWORD register_object_must_erase(GameObject* object)	fo::func::register_object_must_erase(obj);	Modules\Scripting\Handlers\Anims.cpp
void register_object_call(DWORD* target, DWORD* source, void* func, DWORD delay)	fo::func::register_object_call(	Modules\Scripting\Handlers\Anims.cpp
DWORD register_object_funset(GameObject* object, DWORD action, DWORD delay)	call fo::funcoffs::register_object_funset_;	Modules\Explosions.cpp
DWORD register_object_change_fid(GameObject* object, DWORD artFid, DWORD delay)	call fo::funcoffs::register_object_change_fid_;	Modules\MiscPatches.cpp
	fo::func::register_object_change_fid(obj, fid, delay);	Modules\Scripting\Handlers\Anims.cpp
DWORD register_object_take_out(GameObject* object, DWORD holdFrameId, DWORD nothing)	MakeJump(0x415238, register_object_take_out_hack);	Modules\MiscPatches.cpp
	fo::func::register_object_take_out(obj, holdFrame, nothing);	Modules\Scripting\Handlers\Anims.cpp
DWORD register_object_light(GameObject* object, DWORD lightRadius, DWORD delay)	call fo::funcoffs::register_object_light_;	Modules\Explosions.cpp
	call fo::funcoffs::register_object_light_;	Modules\Explosions.cpp
	call fo::funcoffs::register_object_light_;	Modules\Explosions.cpp
	call fo::funcoffs::register_object_light_;	Modules\Explosions.cpp
	fo::func::register_object_light(obj, radius, delay);	Modules\Scripting\Handlers\Anims.cpp
void anim_set_end()	jmp  fo::funcoffs::anim_set_end_;	Modules\Animations.cpp
DWORD anim_can_use_door(GameObject* source, GameObject* object)	if (!fo::func::anim_can_use_door(srcObject, objBlock)) continue; // block - next rotation	Game\tilemap.cpp
	jmp  fo::funcoffs::anim_can_use_door_;	Modules\BugFixes.cpp
void make_path()	fo::func::make_path_func(partyMember, partyMember->tile, underObject->tile, 0, 0, game::Tilemap::obj_path_blocking_at_) > 0)	Modules\PartyControl.cpp
	long pathLength = fo::func::make_path_func(objFrom, objFrom->tile, tileTo, pathData, checkFlag, (void*)func);	Modules\Scripting\Handlers\Objects.cpp
DWORD make_path_func(GameObject* objectFrom, DWORD tileFrom, DWORD tileTo, char* pathDataBuffer, DWORD checkTileTo, void* blockingFunc)	sf::MakeJump(fo::funcoffs::make_path_func_, make_path_func_hack_replacement); // 0x415EFC	Game\tilemap.cpp
	fo::func::make_path_func(partyMember, partyMember->tile, underObject->tile, 0, 0, game::Tilemap::obj_path_blocking_at_) > 0)	Modules\PartyControl.cpp
	long pathLength = fo::func::make_path_func(objFrom, objFrom->tile, tileTo, pathData, checkFlag, (void*)func);	Modules\Scripting\Handlers\Objects.cpp
DWORD tile_idistance(DWORD sourceTile, DWORD targetTile)	it->distance = fo::func::tile_idistance(sourceTile, targetTile); // maximum distance	Game\tilemap.cpp
void make_straight_path()	fo::func::make_straight_path_func(object, objTile, targetTile, 0, (DWORD*)&obj, 0x20, (void*)fo::funcoffs::obj_shoot_blocking_at_);	Game\AI\AIHelpers.cpp
	fo::func::make_straight_path_func(attacker, attacker->tile, target->tile, 0, (DWORD*)&object, 0x20, (void*)fo::funcoffs::obj_shoot_blocking_at_);	Game\AI\AIHelpers.cpp
	call fo::funcoffs::make_straight_path_;	Modules\MiscPatches.cpp
	fo::func::make_straight_path_func(objFrom, objFrom->tile, tileTo, 0, (DWORD*)&resultObj, flag, (void*)getBlockingFunc(type));	Modules\Scripting\Handlers\Objects.cpp
DWORD make_straight_path_func(GameObject* objFrom, DWORD tileFrom, DWORD tileTo, void* arrayPtr, DWORD* outObject, DWORD flags, void* blockingFunc)	fo::func::make_straight_path_func(object, objTile, targetTile, 0, (DWORD*)&obj, 0x20, (void*)fo::funcoffs::obj_shoot_blocking_at_);	Game\AI\AIHelpers.cpp
	fo::func::make_straight_path_func(attacker, attacker->tile, target->tile, 0, (DWORD*)&object, 0x20, (void*)fo::funcoffs::obj_shoot_blocking_at_);	Game\AI\AIHelpers.cpp
	call fo::funcoffs::make_straight_path_func_; // overlapping if len(eax) == 0	Modules\MiscPatches.cpp
	fo::func::make_straight_path_func(objFrom, objFrom->tile, tileTo, 0, (DWORD*)&resultObj, flag, (void*)getBlockingFunc(type));	Modules\Scripting\Handlers\Objects.cpp
void dude_stand()	jmp  fo::funcoffs::dude_stand_;	Modules\BugFixes.cpp
void dude_standup()	jmp  fo::funcoffs::dude_standup_;	Modules\BugFixes.cpp
	jmp  fo::funcoffs::dude_standup_;	Modules\BugFixes.cpp
void art_init()	static const functype art_init = (functype)fo::funcoffs::art_init_;	Modules\Tiles.cpp
FrmHeaderData* art_ptr_lock(DWORD frmId, DWORD* lockPtr)	fo::FrmHeaderData* frm = fo::func::art_ptr_lock(object->artFid, &lock);	FalloutEngine\EngineUtils.cpp
	auto frm = fo::func::art_ptr_lock(dialog_target->artFid, &lockPtr);	HRP\Dialog.cpp
	*(BYTE**)FO_VAR_dialog_red_button_up_buf = fo::func::art_ptr_lock_data(artID | 96, 0 ,0, (DWORD*)FO_VAR_dialog_red_button_up_key);	Modules\BugFixes.cpp
	*(BYTE**)FO_VAR_dialog_red_button_down_buf = fo::func::art_ptr_lock_data(artID | 95, 0 ,0, (DWORD*)FO_VAR_dialog_red_button_down_key);	Modules\BugFixes.cpp
	fo::FrmHeaderData *critFrm = fo::func::art_ptr_lock(BuildFrmId(1, critNum), &critFrmLock);	Modules\HeroAppearance.cpp
	BYTE *MenuUSurface = fo::func::art_ptr_lock_data(BuildFrmId(6, 299), 0, 0, &MenuUObj); // MENUUP Frm	Modules\HeroAppearance.cpp
	BYTE *MenuDSurface = fo::func::art_ptr_lock_data(BuildFrmId(6, 300), 0, 0, &MenuDObj); // MENUDOWN Frm	Modules\HeroAppearance.cpp
	BYTE *DidownUSurface = fo::func::art_ptr_lock_data(BuildFrmId(6, 93), 0, 0, &DidownUObj); // MENUUP Frm	Modules\HeroAppearance.cpp
	BYTE *DidownDSurface = fo::func::art_ptr_lock_data(BuildFrmId(6, 94), 0, 0, &DidownDObj); // MENUDOWN Frm	Modules\HeroAppearance.cpp
	BYTE *DiupUSurface = fo::func::art_ptr_lock_data(BuildFrmId(6, 100), 0, 0, &DiupUObj); // MENUUP Frm	Modules\HeroAppearance.cpp
	BYTE *DiupDSurface = fo::func::art_ptr_lock_data(BuildFrmId(6, 101), 0, 0, &DiupDObj); // MENUDOWN Frm	Modules\HeroAppearance.cpp
	frmSurface = fo::func::art_ptr_lock_data(BuildFrmId(6, 122), 0, 0, &frmLock); // SLUFrm	Modules\HeroAppearance.cpp
	frmSurface = fo::func::art_ptr_lock_data(BuildFrmId(6, 123), 0, 0, &frmLock); // SLDFrm	Modules\HeroAppearance.cpp
	frmSurface = fo::func::art_ptr_lock_data(BuildFrmId(6, 124), 0, 0, &frmLock); // SRUFrm	Modules\HeroAppearance.cpp
	frmSurface = fo::func::art_ptr_lock_data(BuildFrmId(6, 125), 0, 0, &frmLock); // SRDFrm	Modules\HeroAppearance.cpp
	FrmSurface = fo::func::art_ptr_lock_data(BuildFrmId(fo::OBJ_TYPE_INTRFACE, 113), 0, 0, &FrmObj); // "Use Item On" window	Modules\HeroAppearance.cpp
	FrmSurface = fo::func::art_ptr_lock_data(BuildFrmId(fo::OBJ_TYPE_INTRFACE, 188), 0, 0, &FrmObj);	Modules\HeroAppearance.cpp
	FrmMaskSurface = fo::func::art_ptr_lock_data(BuildFrmId(fo::OBJ_TYPE_INTRFACE, 187), 0, 0, &FrmMaskObj);	Modules\HeroAppearance.cpp
	FrmSurface = fo::func::art_ptr_lock_data(BuildFrmId(fo::OBJ_TYPE_INTRFACE, 174), 0, 0, &FrmObj); // Pickchar frm	Modules\HeroAppearance.cpp
	*(BYTE**)buttonMem = fo::func::art_ptr_lock_data(artId, 0, 0, (DWORD*)buttonKey); // first texture memory address	Modules\QuestList.cpp
DWORD art_ptr_unlock(DWORD lockId)	fo::func::art_ptr_unlock(lock);	FalloutEngine\EngineUtils.cpp
	fo::func::art_ptr_unlock(lockPtr);	HRP\Dialog.cpp
	if (frm) fo::func::art_ptr_unlock(frm);	Modules\Animations.cpp
	call fo::funcoffs::art_ptr_unlock_;	Modules\BugFixes.cpp
	fo::func::art_ptr_unlock(critFrmLock);	Modules\HeroAppearance.cpp
	fo::func::art_ptr_unlock(MenuUObj);	Modules\HeroAppearance.cpp
	fo::func::art_ptr_unlock(MenuDObj);	Modules\HeroAppearance.cpp
	fo::func::art_ptr_unlock(DidownUObj);	Modules\HeroAppearance.cpp
	fo::func::art_ptr_unlock(DidownDObj);	Modules\HeroAppearance.cpp
	fo::func::art_ptr_unlock(DiupUObj);	Modules\HeroAppearance.cpp
	fo::func::art_ptr_unlock(DiupDObj);	Modules\HeroAppearance.cpp
	fo::func::art_ptr_unlock(frmLock);	Modules\HeroAppearance.cpp
	fo::func::art_ptr_unlock(frmLock);	Modules\HeroAppearance.cpp
	fo::func::art_ptr_unlock(frmLock);	Modules\HeroAppearance.cpp
	fo::func::art_ptr_unlock(frmLock);	Modules\HeroAppearance.cpp
	fo::func::art_ptr_unlock(FrmObj);	Modules\HeroAppearance.cpp
	fo::func::art_ptr_unlock(FrmObj);	Modules\HeroAppearance.cpp
	fo::func::art_ptr_unlock(FrmMaskObj);	Modules\HeroAppearance.cpp
	fo::func::art_ptr_unlock(FrmObj);	Modules\HeroAppearance.cpp
void art_flush()	if (flush) fo::func::art_flush();	Modules\HeroAppearance.cpp
	__asm call fo::funcoffs::art_flush_;	Modules\Scripting\Handlers\Anims.cpp
void art_get_code()	jmp fo::funcoffs::art_get_code_;	Modules\MiscPatches.cpp
	jmp fo::funcoffs::art_get_code_;	Modules\MiscPatches.cpp
	jmp fo::funcoffs::art_get_code_;	Modules\MiscPatches.cpp
char* art_get_name(DWORD artFID)	const char* artPathName = fo::func::art_get_name(_fid); // <cd>\art\type\file.frm	Modules\Scripting\Handlers\Interface.cpp
	artPathName = fo::func::art_get_name(fid); // .fr#	Modules\Scripting\Handlers\Interface.cpp
DWORD art_frame_width(FrmHeaderData* frm, DWORD frameNum, DWORD rotation)	DWORD critWidth = fo::func::art_frame_width(critFrm, 0, charRotOri);	Modules\HeroAppearance.cpp
DWORD art_frame_length(FrmHeaderData* frm, DWORD frameNum, DWORD rotation)	long yOffset = fo::func::art_frame_length(frm, dialog_target->frm, dialog_target->rotation) / 2;	HRP\Dialog.cpp
	DWORD critHeight = fo::func::art_frame_length(critFrm, 0, charRotOri);	Modules\HeroAppearance.cpp
FrmFrameData* frame_ptr(FrmHeaderData* frm, DWORD frame, DWORD direction)	fo::FrmFrameData* frame = fo::func::frame_ptr((fo::FrmHeaderData*)frm, i, 0);	Modules\TalkingHeads.cpp
	fo::FrmFrameData* frame = fo::func::frame_ptr((fo::FrmHeaderData*)frm, frameno, 0);	Modules\TalkingHeads.cpp
bool art_exists(DWORD artFid)	if (!fo::func::art_exists(fId)) {	Modules\PartyControl.cpp
	call fo::funcoffs::art_exists_;	Modules\PartyControl.cpp
	ctx.setReturn(fo::func::art_exists(ctx.arg(0).rawValue()));	Modules\Scripting\Handlers\Anims.cpp
void art_alias_num()	jmp fo::funcoffs::art_alias_num_;	Modules\HeroAppearance.cpp
void art_alias_fid()	call fo::funcoffs::art_alias_fid_;	Modules\LoadOrder.cpp
DWORD art_id(DWORD artType, DWORD lstIndex, DWORD animCode, DWORD weaponCode, DWORD directionCode)	fid = fo::func::art_id(fo::OBJ_TYPE_CRITTER, indexNum, 0, weaponAnimCode, 0);	Game\inventory.cpp
	jmp  fo::funcoffs::art_id_;	HRP\ViewMap\ViewMap.cpp
	jmp  fo::funcoffs::art_id_;	HRP\ViewMap\ViewMap.cpp
	jmp  fo::funcoffs::art_id_;	HRP\ViewMap\ViewMap.cpp
	critter->artFid = fo::func::art_id(fo::ObjType::OBJ_TYPE_CRITTER, critter->artFid & 0xFFF, 0, (critter->artFid & 0xF000) >> 12, critter->rotation + 1);	Modules\BugFixes.cpp
	jmp  fo::funcoffs::art_id_;	Modules\HeroAppearance.cpp
	jmp  fo::funcoffs::art_id_;	Modules\Interface.cpp
	jmp  fo::funcoffs::art_id_;	Modules\Interface.cpp
	call fo::funcoffs::art_id_;	Modules\MiscPatches.cpp
	long artId = fo::func::art_id(fo::ArtType::OBJ_TYPE_INTRFACE, indexArt, 0, 0, 0);	Modules\QuestList.cpp
	jmp fo::funcoffs::art_id_;	Modules\TalkingHeads.cpp
DWORD load_frame(char* filename, FrmFile** frmPtr)	if (fo::func::load_frame(file, &frmPtr)) {	Modules\Scripting\Handlers\Interface.cpp
void audioOpen()	mov  edx, fo::funcoffs::audioOpen_;	Modules\Sound.cpp
void audioCloseFile()	mov  ebx, fo::funcoffs::audioCloseFile_;	Modules\Sound.cpp
void audioRead()	mov  ecx, fo::funcoffs::audioRead_;	Modules\Sound.cpp
void audioSeek()	push fo::funcoffs::audioSeek_;	Modules\Sound.cpp
void audioFileSize()	push fo::funcoffs::audioFileSize_;	Modules\Sound.cpp
void dialog_out()	call fo::funcoffs::dialog_out_;	FalloutEngine\Functions.cpp
	call fo::funcoffs::dialog_out_; // edx - DisplayText (seconds lines)	FalloutEngine\Functions.cpp
void combat_safety_invalidate_weapon()	return !fo::func::combat_safety_invalidate_weapon_func(attacker, weapon, fo::AttackType::ATKTYPE_RWEAPON_SECONDARY, target, 0, 0);	Modules\AI.cpp
DWORD combat_safety_invalidate_weapon_func(GameObject* source, GameObject* weapon, DWORD hitMode, GameObject* targetA, DWORD* outSafeRange, GameObject* targetB)	return !fo::func::combat_safety_invalidate_weapon_func(attacker, weapon, fo::AttackType::ATKTYPE_RWEAPON_SECONDARY, target, 0, 0);	Modules\AI.cpp
void combat_over()	__asm jmp  fo::funcoffs::combat_over_;	Modules\HookScripts\CombatHs.cpp
void combat_sequence()	call fo::funcoffs::combat_sequence_;	Modules\HookScripts\CombatHs.cpp
void combat_turn_run()	call fo::funcoffs::combat_turn_run_;	Modules\BugFixes.cpp
	call fo::funcoffs::combat_turn_run_;	Modules\BugFixes.cpp
void combat_input()	call fo::funcoffs::combat_input_;	Modules\LoadGameHook.cpp
DWORD combat_turn(GameObject* critter, DWORD isDudeTurn)	combatTurnResult = fo::func::combat_turn(critter, dudeBegin);	Modules\HookScripts\CombatHs.cpp
void combat_should_end()	call fo::funcoffs::combat_should_end_;	Modules\BugFixes.cpp
void combat()	return !fo::func::combat_safety_invalidate_weapon_func(attacker, weapon, fo::AttackType::ATKTYPE_RWEAPON_SECONDARY, target, 0, 0);	Modules\AI.cpp
	__asm call fo::funcoffs::combat_;	Modules\LoadGameHook.cpp
	combatTurnResult = fo::func::combat_turn(critter, dudeBegin);	Modules\HookScripts\CombatHs.cpp
void combat_ctd_init()	jmp  fo::funcoffs::combat_ctd_init_;	Modules\AI.cpp
void combat_attack()	jmp  fo::funcoffs::combat_attack_;	Modules\AI.cpp
void attack_crit_success()	call fo::funcoffs::attack_crit_success_;	Modules\BugFixes.cpp
DWORD determine_to_hit(GameObject* source, GameObject* target, DWORD bodyPart, DWORD hitMode)	jmp  fo::funcoffs::determine_to_hit_;	Modules\Combat.cpp
void determine_to_hit_func()	call fo::funcoffs::determine_to_hit_func_;	Modules\HookScripts\CombatHs.cpp
void compute_damage()	call fo::funcoffs::compute_damage_;	Modules\HookScripts\CombatHs.cpp
void check_for_death(GameObject* critter, DWORD amountDamage, DWORD* flags)	fo::func::check_for_death(fo::var::main_ctd.target, fo::var::main_ctd.targetDamage, &fo::var::main_ctd.targetFlags);	Modules\BugFixes.cpp
void combat_anim_finished()	call fo::funcoffs::combat_anim_finished_;	Modules\Animations.cpp
void combat_check_bad_shot()	call fo::funcoffs::combat_check_bad_shot_;	Modules\AI.cpp
AIcap* ai_cap(GameObject* critter)	fo::AIcap* cap = fo::func::ai_cap(source);	Game\combatAI.cpp
	jmp  fo::funcoffs::ai_cap_;	Modules\AI.cpp
	fo::AIcap* cap = fo::func::ai_cap(partyMember);	Modules\PartyControl.cpp
	fo::AIcap* cap = fo::func::ai_cap(ctx.arg(0).object());	Modules\Scripting\Handlers\Objects.cpp
DWORD ai_magic_hands(GameObject* source, GameObject* object, DWORD msgNumber)	fo::func::ai_magic_hands(source, item, 5000);	Game\items.cpp
void ai_check_drugs()	sf::MakeJump(fo::funcoffs::ai_check_drugs_, ai_check_drugs_replacement); // 0x428480	Game\combatAI.cpp
	call game::CombatAI::ai_check_drugs; // call fo::funcoffs::ai_check_drugs_;	Modules\AI.cpp
void ai_run_away()	jmp  fo::funcoffs::ai_run_away_;	Modules\AI.cpp
	call fo::funcoffs::ai_run_away_;	Modules\AI.cpp
void ai_danger_source()	jmp  fo::funcoffs::ai_danger_source_;	Modules\PartyControl.cpp
DWORD ai_have_ammo(GameObject* critter, GameObject* item, GameObject** outAmmo)	return fo::func::ai_have_ammo(source, weapon, outAmmo); // 0 - no ammo	Modules\AI.cpp
void caiHasWeapPrefType()	call fo::funcoffs::caiHasWeapPrefType_;	Modules\AI.cpp
GameObject* ai_best_weapon(GameObject* source, GameObject* prevItem, GameObject* checkItem, GameObject* target)	call fo::funcoffs::ai_best_weapon_;	Modules\HookScripts\CombatHs.cpp
bool ai_can_use_weapon(GameObject* critter, GameObject* item, DWORD hitMode)	bool result = fo::func::ai_can_use_weapon(source, weapon, hitMode);	Game\combatAI.cpp
	call fo::funcoffs::ai_can_use_weapon_;	Modules\HookScripts\CombatHs.cpp
GameObject* ai_search_inven_weap(GameObject* source, DWORD apCheck, GameObject* target)	fo::GameObject* item = fo::func::ai_search_inven_weap(source, 1, target); // search based on AP	Modules\AI.cpp
GameObject* ai_search_environ(GameObject* critter, DWORD itemType)	if (!lastItem) lastItem = fo::func::ai_search_environ(source, fo::ItemType::item_type_drug);	Game\combatAI.cpp
	if (!lastItem) lastItem = fo::func::ai_search_environ(source, fo::ItemType::item_type_misc_item);	Game\combatAI.cpp
GameObject* ai_retrieve_object(GameObject* critter, GameObject* item)	if (lastItem) lastItem = fo::func::ai_retrieve_object(source, lastItem);	Game\combatAI.cpp
	call fo::funcoffs::ai_retrieve_object_;	Modules\AI.cpp
DWORD ai_pick_hit_mode(GameObject* source, GameObject* item, GameObject* target)	long _hitMode = fo::func::ai_pick_hit_mode(source, weapon, target);	Modules\AI.cpp
void ai_switch_weapons()	jmp  fo::funcoffs::ai_switch_weapons_;	Modules\AI.cpp
void cai_attempt_w_reload()	jmp  fo::funcoffs::cai_attempt_w_reload_;	Modules\BugFixes.cpp
void combat_ai()	call fo::funcoffs::combat_ai_;	Modules\AI.cpp
void combatai_rating()	call fo::funcoffs::combatai_rating_;	Modules\AI.cpp
	call fo::funcoffs::combatai_rating_;	Modules\AI.cpp
void combatai_check_retaliation()	jmp  fo::funcoffs::combatai_check_retaliation_;	Modules\Combat.cpp
DWORD is_within_perception(GameObject* source, GameObject* target)	return sf::PerceptionRangeHook_Invoke(watcher, target, hookType, fo::func::is_within_perception(watcher, target));	Game\objects.cpp
	return PerceptionRangeHook_Script(watcher, target, type, fo::func::is_within_perception(watcher, target));	Modules\HookScripts\MiscHs.cpp
void config_get_string()	call fo::funcoffs::config_get_string_; // section<edx>, outValue<ecx>	FalloutEngine\Functions.cpp
	call fo::funcoffs::config_get_string_;	Modules\Worldmap.cpp
void config_get_value()	jmp  fo::funcoffs::config_get_value_;	Modules\MiscPatches.cpp
void credits()	__asm call fo::funcoffs::credits_;	Modules\Credits.cpp
void credits_get_next_line()	jmp  fo::funcoffs::credits_get_next_line_;	Modules\Credits.cpp
	call fo::funcoffs::credits_get_next_line_;  // call default function	Modules\Credits.cpp
char* critter_name(GameObject* critter)	jmp  fo::funcoffs::critter_name_;	Modules\AI.cpp
	set->animations[i].source, fo::func::critter_name(set->animations[i].source),	Modules\Animations.cpp
	call fo::funcoffs::critter_name_;	Modules\BugFixes.cpp
	fo::func::critter_pc_set_name(fo::func::critter_name(npc));	Modules\PartyControl.cpp
	devlog_f("%s restore sneak: time %d[%d], state %d\n", DL_MAIN, fo::func::critter_name(npc), member.sneak_queue_time, fo::var::fallout_game_time, member.sneak_working);	Modules\PartyControl.cpp
	devlog_f("%s recheck sneak: time %d<=[%d], state %d\n", DL_MAIN, fo::func::critter_name(npc), member.sneak_queue_time, fo::var::fallout_game_time, member.sneak_working);	Modules\PartyControl.cpp
	jmp  fo::funcoffs::critter_name_;	Modules\PartyControl.cpp
	devlog_f("[Switch] %s update sneak: time %d, state %d\n", DL_MAIN, fo::func::critter_name(fo::var::obj_dude), member.sneak_queue_time, member.sneak_working);	Modules\PartyControl.cpp
	devlog_f("[Switch] %s save sneak: time %d, state %d\n", DL_MAIN, fo::func::critter_name(fo::var::obj_dude), member.sneak_queue_time, member.sneak_working);	Modules\PartyControl.cpp
	call fo::funcoffs::critter_name_;	Modules\Scripting\Handlers\Objects.cpp
void critter_pc_set_name(char* newName)	fo::func::critter_pc_set_name(fo::func::critter_name(npc));	Modules\PartyControl.cpp
void critter_adjust_hits()	call fo::funcoffs::critter_adjust_hits_;	Modules\Scripting\Handlers\Interface.cpp
void critter_get_rads()	jmp  fo::funcoffs::critter_get_rads_;	Modules\MiscPatches.cpp
void critter_kill_count()	critterType = static_cast<int8_t>(fo::func::critter_kill_count_type(srcObject));	Game\tilemap.cpp
DWORD critter_kill_count_type(GameObject* critter)	critterType = static_cast<int8_t>(fo::func::critter_kill_count_type(srcObject));	Game\tilemap.cpp
	jmp fo::funcoffs::critter_kill_count_type_;	Modules\MiscPatches.cpp
void critter_kill()	critterType = static_cast<int8_t>(fo::func::critter_kill_count_type(srcObject));	Game\tilemap.cpp
DWORD critter_is_dead(GameObject* critter)	call fo::funcoffs::critter_is_dead_; // found some object, check if it's a dead critter	Modules\BugFixes.cpp
	call fo::funcoffs::critter_is_dead_;	Modules\BugFixes.cpp
	if (includeHidden || (obj->IsCritter() && !fo::func::critter_is_dead(obj) && !(obj->flags & fo::ObjectFlag::Mouse_3d))) {	Modules\Scripting\Handlers\Objects.cpp
DWORD critter_body_type(GameObject* critter)	if (fo::func::critter_body_type(source)) return; // Robotic/Quadruped cannot use drugs	Game\combatAI.cpp
	call fo::funcoffs::critter_body_type_;	Modules\BugFixes.cpp
	switch (fo::func::critter_body_type(partyMember)) {	Modules\PartyControl.cpp
void pc_flag_off()	__asm call fo::funcoffs::pc_flag_off_;	Modules\Scripting\Handlers\Interface.cpp
void pc_flag_on(DWORD flag)	__asm call fo::funcoffs::pc_flag_on_;	Modules\Scripting\Handlers\Interface.cpp
void pc_flag_toggle()	// jmp  fo::funcoffs::pc_flag_toggle_;	Modules\PartyControl.cpp
DWORD is_pc_flag(DWORD flag)	if (fo::func::is_pc_flag(0)) { // sneak flag	Modules\PartyControl.cpp
	if (realDude.sneak_queue_time && fo::func::is_pc_flag(0)) {	Modules\PartyControl.cpp
void critter_sneak_check()	if (!exist) __asm call fo::funcoffs::critter_sneak_check_;	Modules\PartyControl.cpp
DWORD is_pc_sneak_working()	ctx.setReturn(fo::func::is_pc_sneak_working());	Modules\Scripting\Handlers\Misc.cpp
void critter_wake_up()	call fo::funcoffs::critter_wake_up_; // (stand up anim)	Modules\BugFixes.cpp
void critter_compute_ap_from_distance()	call fo::funcoffs::critter_compute_ap_from_distance_;	Modules\HookScripts\InventoryHs.cpp
void datafileConvertData()	call fo::funcoffs::datafileConvertData_;	FalloutEngine\Functions.cpp
void display_print(char* msg)	push fo::funcoffs::display_print_; // func replaced by Mash's HRP	Game\GUI\Text.cpp
	sf::MakeJump(fo::funcoffs::display_print_, display_print_hack_replacemet); // 0x43186C	Game\GUI\Text.cpp
	jmp  fo::funcoffs::display_print_;	Modules\BugFixes.cpp
	call fo::funcoffs::display_print_;	Modules\BugFixes.cpp
	call fo::funcoffs::display_print_;	Modules\BugFixes.cpp
	jmp  fo::funcoffs::display_print_;	Modules\BugFixes.cpp
	call fo::funcoffs::display_print_;	Modules\BugFixes.cpp
	if (!HRP::Setting::IsEnabled()) MakeJump(0x43186C, display_print_hack);	Modules\Console.cpp
	jmp  fo::funcoffs::display_print_;	Modules\DebugEditor.cpp
	fo::func::display_print(superStimMsg.c_str());	Modules\Inventory.cpp
	fo::func::display_print(buf);	Modules\Karma.cpp
	fo::func::display_print(fo::util::GetMessageStr(&fo::var::proto_main_msg_file, 675)); // I Can't do that	Modules\PartyControl.cpp
	fo::func::display_print(Translate::CombatBlockMessage().c_str());	Modules\SubModules\CombatBlock.cpp
void display_redraw()	__asm call fo::funcoffs::display_redraw_;	Game\GUI\Text.cpp
	jmp  fo::funcoffs::display_redraw_;	HRP\InterfaceBar.cpp
void display_scroll_up()	call fo::funcoffs::display_scroll_up_;	InputFuncs.cpp
void display_scroll_down()	call fo::funcoffs::display_scroll_down_;	InputFuncs.cpp
void editor_design()	call fo::funcoffs::editor_design_;	Modules\LoadGameHook.cpp
void DrawFolder()	call fo::funcoffs::DrawFolder_;	Modules\HeroAppearance.cpp
void PrintLevelWin()	call fo::funcoffs::PrintLevelWin_;	Modules\HeroAppearance.cpp
	call fo::funcoffs::PrintLevelWin_;	Modules\Scripting\Handlers\Interface.cpp
void PrintBasicStat()	call fo::funcoffs::PrintBasicStat_;	Modules\HeroAppearance.cpp
	call fo::funcoffs::PrintBasicStat_;	Modules\Scripting\Handlers\Interface.cpp
void ListDrvdStats()	call fo::funcoffs::ListDrvdStats_;	Modules\HeroAppearance.cpp
	call fo::funcoffs::ListDrvdStats_;	Modules\Scripting\Handlers\Interface.cpp
void ListSkills()	call fo::funcoffs::ListSkills_;	Modules\HeroAppearance.cpp
	call fo::funcoffs::ListSkills_;	Modules\Scripting\Handlers\Interface.cpp
void DrawInfoWin()	//call fo::funcoffs::DrawInfoWin_;	Modules\HeroAppearance.cpp
void SexWindow()	call fo::funcoffs::SexWindow_;  // call gender selection window	Modules\HeroAppearance.cpp
